week;rank;rise;rise_nb;name;artist;last_week;peak;week_chart
"
                January 5, 2019
                ";65;New;-;Startender;A Boogie Wit da Hoodie Featuring Offset & Tyga;-;65;1
"
                January 5, 2019
                ";66;Rising;+30;Look Back At It;A Boogie Wit da Hoodie;96;66;3
"
                January 5, 2019
                ";67;New;-;All My Friends;21 Savage;-;67;1
"
                January 5, 2019
                ";68;Failing;-16;BAD!;XXXTENTACION;52;16;7
"
                January 5, 2019
                ";69;Failing;-5;Backin' It Up;Pardison Fontaine Featuring Cardi B;64;64;11
"
                January 5, 2019
                ";70;New;-;Break Da Law;21 Savage;-;70;1
"
                January 5, 2019
                ";71;Failing;-47;Imagine;Ariana Grande;24;24;2
"
                January 5, 2019
                ";72;Failing;-11;Talk To Me;Tory Lanez & Rich The Kid;61;61;9
"
                January 5, 2019
                ";73;New;-;Monster;21 Savage;-;73;1
"
                January 5, 2019
                ";74;Failing;-28;Calling My Spirit;Kodak Black;46;46;4
"
                January 5, 2019
                ";75;Failing;-6;Consequences;Camila Cabello;69;69;8
"
                January 5, 2019
                ";76;Failing;-16;Armed And Dangerous;Juice WRLD;60;44;7
"
                January 5, 2019
                ";77;Failing;-15;Arms Around You;XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee;62;28;9
"
                January 5, 2019
                ";78;Failing;-22;Nothing Breaks Like A Heart;Mark Ronson Featuring Miley Cyrus;56;56;4
"
                January 5, 2019
                ";79;Failing;-12;Sixteen;Thomas Rhett;67;67;7
"
                January 5, 2019
                ";80;Failing;-15;Burning Man;Dierks Bentley Featuring Brothers Osborne;65;65;10
"
                January 5, 2019
                ";81;Steady;-;Beautiful Crazy;Luke Combs;81;58;7
"
                January 5, 2019
                ";82;Failing;-5;When The Party's Over;Billie Eilish;77;52;10
"
                January 5, 2019
                ";83;Rising;+4;Sweet But Psycho;Ava Max;87;83;2
"
                January 5, 2019
                ";84;Failing;-18;This Feeling;The Chainsmokers Featuring Kelsea Ballerini;66;66;11
"
                January 5, 2019
                ";85;Failing;-10;You;Jacquees;75;75;5
"
                January 5, 2019
                ";86;New;-;1.5;21 Savage;-;86;1
"
                January 5, 2019
                ";87;Failing;-16;Girl Like You;Jason Aldean;71;71;5
"
                January 5, 2019
                ";88;New;-;Out For The Night;21 Savage;-;88;1
"
                January 5, 2019
                ";89;Failing;-17;Good Girl;Dustin Lynch;72;72;7
"
                January 5, 2019
                ";90;Failing;-17;No Stylist;French Montana Featuring Drake;73;47;14
"
                January 5, 2019
                ";91;Failing;-2;Lovely;Billie Eilish & Khalid;89;78;9
"
                January 5, 2019
                ";92;Failing;-12;Ella Quiere Beber;Anuel AA & Romeo Santos;80;79;8
"
                January 5, 2019
                ";93;New;-;Gun Smoke;21 Savage;-;93;1
"
                January 5, 2019
                ";94;New;-;Demons And Angels;A Boogie Wit da Hoodie Featuring Juice WRLD;-;94;1
"
                January 5, 2019
                ";95;New;-;ASMR;21 Savage;-;95;1
"
                January 5, 2019
                ";96;Failing;-18;Last Shot;Kip Moore;78;78;6
"
                January 5, 2019
                ";97;Failing;-15;Fine China;Future & Juice WRLD;82;26;10
"
                January 5, 2019
                ";98;Failing;-7;Envy Me;Calboy;91;91;2
"
                January 5, 2019
                ";99;Failing;-16;Lost In Japan;Shawn Mendes X Zedd;83;48;14
"
                January 5, 2019
                ";100;Failing;-16;This Is It;Scotty McCreery;84;84;3
"
                January 12, 2019
                ";1;Rising;+1;Without Me;Halsey;2;1;13
"
                January 12, 2019
                ";2;Failing;-1;Thank U, Next;Ariana Grande;1;1;9
"
                January 12, 2019
                ";3;Rising;+2;Sunflower (Spider-Man: Into The Spider-Verse);Post Malone & Swae Lee;5;3;11
"
                January 12, 2019
                ";4;Steady;-;Sicko Mode;Travis Scott;4;1;22
"
                January 12, 2019
                ";5;Rising;+1;High Hopes;Panic! At The Disco;6;5;22
